holiday_window,days,total_sales,average_daily_sales,median_daily_sales,average_orders,average_units_sold,share_of_days_with_sales
Holiday,643,137857.0,214.39657853810263,0.0,0.5007776049766719,3.457231726283048,0.2255054432348367
Normal,19495,4696157.0,240.89033085406516,0.0,0.4884329315209028,3.4764811490125673,0.25052577583995894
Post-holiday,1380,367540.0,266.3333333333333,0.0,0.5528985507246377,4.072463768115942,0.263768115942029
Pre-holiday,1505,315240.0,209.46179401993356,0.0,0.44717607973421925,3.145514950166113,0.22192691029900333
